"","Cell","sum(betweenness)"
"1",1,37350
"2",2,147637.489027758
"3",3,257969.007308576
"4",4,368382.744012284
"5",5,478880.714101631
"6",6,589443.513263227
"7",7,698956.914074643
"8",8,809506.275926473
"9",9,916434.919351358
"10",10,1023517.12615422
"11",11,1129113.27150067
"12",12,1236578.89091673
"13",13,706639.529059942
"14",14,749494.717226351
"15",15,800351.528855814
"16",16,845171
"17",17,891537
"18",18,938962
"19",19,989231
"20",20,1027920
"21",21,530073
"22",22,1032251
"23",23,667187
"24",24,575361
"25",25,584342
"26",26,581248.999446853
"27",27,571662.350569125
"28",28,561775.450324574
"29",29,524114.067057624
"30",30,523773.670065535
"31",31,394147.906177138
"32",32,397745.974867446
"33",33,406635.190970997
"34",34,409548.569369312
"35",35,413993.273524106
"36",36,422494.939315146
"37",37,1138379.40619035
"38",38,1218646.87153467
"39",39,1349081.60646547
"40",40,2067314.21015819
"41",41,2049136.73628294
"42",42,2053984.12033952
"43",43,2045870.83135557
"44",44,2080974.41789144
"45",45,2514652.73434627
"46",46,2540351.44661955
"47",47,2705491.66822912
"48",48,2695176.08864043
"49",49,2691410.7031764
"50",50,2939081.35908343
"51",51,2868878.71451474
"52",52,7356600.68514724
"53",53,12107834
"54",54,12008714
"55",55,11917018
"56",56,12211441
"57",57,13665845
"58",58,13377595
"59",59,13147056
"60",60,12961782
"61",61,12744433
"62",62,14090386
"63",63,12161205
"64",64,12003125
"65",65,11835204
"66",66,11581198.0893079
"67",67,11395484.1241776
"68",68,11294329.6412807
"69",69,11210859.9641009
"70",70,11139997.3462274
"71",71,11042654.851611
"72",72,10934859.4178011
"73",73,11266112.0552188
"74",74,11116399.8852868
"75",75,10963527.8604592
"76",76,10756662.158921
"77",77,10625343.4236953
"78",78,10496465.5043976
"79",79,10393557
"80",80,10233359
"81",81,10035723
"82",82,9904771
"83",83,11266985
"84",84,9155428
"85",85,1693405
"86",86,1587051
"87",87,1477474
"88",88,1368529.52028986
"89",89,1259130.71548913
"90",90,1150001.51783247
"91",91,1041257.17354967
"92",92,932976.492129822
"93",93,825125.727266966
"94",94,717685.024937877
"95",95,609430.101298146
"96",96,538579.821184205
"97",97,469226.49769982
"98",98,354801.601987421
"99",99,195811.820432437
"100",100,37393
"101",101,38891.6191816258
"102",102,149309.285495688
"103",103,259628.828392711
"104",104,369940.866832135
"105",105,480276.892662401
"106",106,590623.723336285
"107",107,702039.022007987
"108",108,809848.026220087
"109",109,923650.888999572
"110",110,1028351.39407934
"111",111,1137151.63273748
"112",112,1240644.22899757
"113",113,1364452.06528917
"114",114,829845.234674605
"115",115,864787.237810853
"116",116,920092.333333333
"117",117,962597
"118",118,1003637
"119",119,1058220
"120",120,1065743
"121",121,3798456
"122",122,1267142
"123",123,902131
"124",124,907822
"125",125,1018637.5238121
"126",126,1079763.00600513
"127",127,1091789.60642654
"128",128,1220216.53903798
"129",129,1279268.60697944
"130",130,1233010.61554691
"131",131,1388905.78730098
"132",132,1110828.66787453
"133",133,1102632.95993268
"134",134,1107959.8422593
"135",135,1384445.79705952
"136",136,1483575.61107732
"137",137,1154661.41588324
"138",138,1240964.04156609
"139",139,2396599.65687058
"140",140,1642299.06245624
"141",141,1634134.24456578
"142",142,1593782.791235
"143",143,1623492.20674069
"144",144,2157239.90931549
"145",145,1749505.78829924
"146",146,1982268.43226896
"147",147,1769716.8633389
"148",148,1741090.22820384
"149",149,2220203.93250054
"150",150,1888550.29790657
"151",151,8740319.28513352
"152",152,11451876.7767426
"153",153,6565988
"154",154,6429856
"155",155,6809478
"156",156,8191469
"157",157,6160519
"158",158,6200505
"159",159,6018862
"160",160,5850883
"161",161,5846551
"162",162,6135969
"163",163,10871494
"164",164,5869810
"165",165,5833706
"166",166,5876795.91069209
"167",167,7630200.87582241
"168",168,7535972.35871932
"169",169,7368015.71685172
"170",170,7193288.36043988
"171",171,7043980.68065814
"172",172,7920905.13258064
"173",173,7242189.25515316
"174",174,7047537.58667232
"175",175,6858258.71753978
"176",176,6723430.40424754
"177",177,6528241.2750048
"178",178,6390459.48542923
"179",179,6170685
"180",180,6067814
"181",181,5970605
"182",182,6341455
"183",183,5342129
"184",184,5173395
"185",185,11423901
"186",186,4645586
"187",187,4537523.46904762
"188",188,4427938.38047148
"189",189,4318113.96616702
"190",190,4209646.10105412
"191",191,4101167.9635042
"192",192,3993191.55134421
"193",193,3885524.547923
"194",194,3778132.08280098
"195",195,3670526.77256621
"196",196,3564272.09807223
"197",197,3402301.39809675
"198",198,1847614.8333287
"199",199,310959.123432554
"200",200,51233.7156523411
"201",201,40437.0412770531
