"","Scenario","Threshold","Replicate","poll.robust","plant.robust","Relative.percent.forest.cover","Forest.area","Forest.cover","Weighted_connectedness","Binary_connectedness","n_pollinator_nodes","n_plant_nodes","n_nodes","n_links","sum_link_weights","largest.patch","mean.patch","SE.patch","n.patches","patch.density","mean.nnd","SE.nnd","edge.length","mean.edge.ratio","SE.edge.ratio","percent.change"
"1","scen.loss.10","1",1,0.994570475,0.661657891,0.9,2656,0.2656,0.28321182,0.372564673,14407,6958,21365,1683353,880892.0045,79.83,7.710967742,3.478867859,31,3.444444444,99.68235786,15.03995587,50100,0.075070992,0.007423283,-10
"2","scen.loss.10","2.5",1,0.880580636,0.577128535,0.9,2656,0.2656,0.28321182,0.372564673,14407,6958,21365,1683353,880892.0045,79.83,7.710967742,3.478867859,31,3.444444444,99.68235786,15.03995587,50100,0.075070992,0.007423283,-10
"3","scen.loss.10","5",1,0.378767401,0.285886516,0.9,2656,0.2656,0.28321182,0.372564673,14407,6958,21365,1683353,880892.0045,79.83,7.710967742,3.478867859,31,3.444444444,99.68235786,15.03995587,50100,0.075070992,0.007423283,-10
"4","scen.loss.10","1",2,0.994037993,0.663116504,0.9,2656,0.2656,0.28321182,0.372564673,14407,6958,21365,1683353,880892.0045,79.83,7.710967742,3.478867859,31,3.444444444,99.68235786,15.03995587,50100,0.075070992,0.007423283,-10
"5","scen.loss.10","2.5",2,0.877776729,0.577679153,0.9,2656,0.2656,0.28321182,0.372564673,14407,6958,21365,1683353,880892.0045,79.83,7.710967742,3.478867859,31,3.444444444,99.68235786,15.03995587,50100,0.075070992,0.007423283,-10
"6","scen.loss.10","5",2,0.381520028,0.28817981,0.9,2656,0.2656,0.28321182,0.372564673,14407,6958,21365,1683353,880892.0045,79.83,7.710967742,3.478867859,31,3.444444444,99.68235786,15.03995587,50100,0.075070992,0.007423283,-10
"7","scen.loss.10","1",3,0.993757979,0.662728343,0.9,2656,0.2656,0.28321182,0.372564673,14407,6958,21365,1683353,880892.0045,79.83,7.710967742,3.478867859,31,3.444444444,99.68235786,15.03995587,50100,0.075070992,0.007423283,-10
"8","scen.loss.10","2.5",3,0.879895629,0.578852003,0.9,2656,0.2656,0.28321182,0.372564673,14407,6958,21365,1683353,880892.0045,79.83,7.710967742,3.478867859,31,3.444444444,99.68235786,15.03995587,50100,0.075070992,0.007423283,-10
"9","scen.loss.10","5",3,0.381310559,0.288054951,0.9,2656,0.2656,0.28321182,0.372564673,14407,6958,21365,1683353,880892.0045,79.83,7.710967742,3.478867859,31,3.444444444,99.68235786,15.03995587,50100,0.075070992,0.007423283,-10
"10","scen.loss.10","1",4,0.994105059,0.66197752,0.9,2656,0.2656,0.28321182,0.372564673,14407,6958,21365,1683353,880892.0045,79.83,7.710967742,3.478867859,31,3.444444444,99.68235786,15.03995587,50100,0.075070992,0.007423283,-10
